PERIODOS,NUM_MATERIAS,NUM_CREDITOS_MATRICULADOS,NUM_CREDITOS_APROBADOS,NUM_MATERIAS_APROBADAS,NUM_MATERIAS_PERDIDAS,NUM_R1,NUM_R2,NUM_R3,NUM_R3_BALANCEO,EFICIENCIA,PROMEDIO,GENERO_FEMENINO,GENERO_MASCULINO,GENERO_NO BINARIO,GENERO_NO REPORTA,ESTRATO_1,ESTRATO_2,ESTRATO_3,ESTRATO_4,ESTRATO_5,ESTRATO_6,ETIQUETA
2,9,29,6,3,6,2,0,0,0.0,0.2710843373493975,1.425,1,0,0,0,1,0,0,0,0,0,1
6,20,73,41,12,8,3,3,1,1.0,0.5286144578313253,3.016666666666667,0,1,0,0,1,0,0,0,0,0,1
1,4,14,10,3,1,0,0,0,0.0,0.6024096385542168,3.35,0,1,0,0,0,1,0,0,0,0,1
16,72,251,176,52,20,9,5,1,0.0,0.5979004262136791,3.065125,1,0,0,0,1,0,0,0,0,0,1
8,28,105,37,11,17,6,5,2,0.0,0.3721941336775674,2.2732500000000004,1,0,0,0,0,1,0,0,0,0,1
1,5,14,6,3,2,0,0,0,0.0,0.36144578313253,2.325000000000002,1,0,0,0,1,0,0,0,0,0,1
5,27,81,50,18,9,2,2,0,0.0,0.6767068273092368,3.2366,1,0,0,0,1,0,0,0,0,0,1
12,52,181,172,50,2,2,0,0,0.0,0.9135149906987255,3.91,0,1,0,0,1,0,0,0,0,0,1
6,31,94,74,26,5,3,1,0,0.0,0.7787817938420347,3.742500000000001,1,0,0,0,0,1,0,0,0,0,0
12,57,184,164,50,7,6,0,0,0.0,0.7470779582978379,3.3789166666666666,0,1,0,0,1,0,0,0,0,0,0
1,5,14,3,2,3,0,0,0,0.0,0.180722891566265,1.5250000000000037,0,1,0,0,1,0,0,0,0,0,1
4,13,33,6,4,9,3,1,1,1.0,0.1430722891566264,1.2187500000000004,1,0,0,0,1,0,0,0,0,0,1
2,7,21,9,4,3,1,0,0,0.0,0.3162650602409638,2.6000000000000014,0,1,0,0,1,0,0,0,0,0,1
1,5,14,6,3,2,0,0,0,0.0,0.36144578313253,2.375,0,1,0,0,0,0,1,0,0,0,1
1,4,14,14,4,0,0,0,0,0.0,0.8433734939759036,4.025,0,1,0,0,0,1,0,0,0,0,1
2,9,25,3,1,8,2,0,0,0.0,0.1355421686746987,1.0,0,1,0,0,0,0,1,0,0,0,1
1,4,14,3,1,3,0,0,0,0.0,0.180722891566265,1.1250000000000036,0,0,1,0,0,1,0,0,0,0,1
8,34,121,69,21,13,7,4,1,1.0,0.5055131239242685,2.6427500000000004,0,1,0,0,0,1,0,0,0,0,1
4,14,50,15,5,9,4,2,0,0.0,0.2622991967871485,2.1905,0,1,0,0,0,1,0,0,0,0,1
12,49,173,166,47,2,1,0,0,0.0,0.8546440451560932,3.905583333333333,0,1,0,0,1,0,0,0,0,0,0
14,59,214,167,47,12,10,1,0,0.0,0.6715043180189478,3.4403571428571427,0,1,0,0,0,0,0,1,0,0,0
2,9,29,9,4,5,2,0,0,0.0,0.3162650602409638,2.512500000000002,0,1,0,0,0,1,0,0,0,0,1
7,23,82,31,10,13,0,0,0,0.0,0.3549504139004999,2.109714285714286,1,0,0,0,1,0,0,0,0,0,1
7,23,81,21,8,15,6,4,2,2.0,0.305077452667814,1.4725714285714289,1,0,0,0,1,0,0,0,0,0,1
9,19,73,25,7,12,5,4,0,0.0,0.2538434159920102,1.9316666666666664,1,0,0,0,1,0,0,0,0,0,1
4,15,56,52,14,1,0,0,0,0.0,0.7831325301204819,3.58,0,1,0,0,0,1,0,0,0,0,1
3,8,29,9,3,5,2,1,0,0.0,0.2108433734939758,1.9083333333333328,0,1,0,0,1,0,0,0,0,0,1
3,11,41,13,4,7,3,2,0,0.0,0.2978580990629182,2.205666666666667,1,0,0,0,0,1,0,0,0,0,1
1,5,14,0,1,4,0,0,0,0.0,0.0,1.5249999999999997,0,1,0,0,0,0,0,0,0,1,1
7,40,124,108,36,4,3,0,0,0.0,0.829132857962462,3.6842857142857146,1,0,0,0,1,0,0,0,0,0,0
3,8,29,14,4,1,1,1,0,0.0,0.394912985274431,3.998333333333335,0,1,0,0,1,0,0,0,0,0,0
3,13,41,9,5,8,3,2,0,0.0,0.2710843373493975,1.2999999999999998,0,1,0,0,1,0,0,0,0,0,1
1,4,14,0,0,4,0,0,0,1.0,0.0,0.8000000000000018,0,1,0,0,0,1,0,0,0,0,1
8,32,86,30,12,20,9,2,1,1.0,0.2502689328743545,1.4391250000000002,1,0,0,0,0,1,0,0,0,0,1
3,9,33,9,3,6,2,2,0,0.0,0.2710843373493975,1.875000000000001,1,0,0,0,0,1,0,0,0,0,1
3,15,51,43,13,2,1,0,0,0.0,0.8400267737617134,3.745000000000001,0,1,0,0,1,0,0,0,0,0,0
18,61,218,119,35,26,13,6,2,2.0,0.4299270796509751,2.524777777777778,0,1,0,0,0,1,0,0,0,0,1
1,4,14,3,1,3,0,0,0,1.0,0.180722891566265,2.025,0,1,0,0,1,0,0,0,0,0,1
13,50,173,161,47,3,3,0,0,0.0,0.8040861581524231,3.8883,0,1,0,0,1,0,0,0,0,0,0
15,59,202,140,43,16,7,5,0,0.0,0.5379145731555369,3.307,1,0,0,0,1,0,0,0,0,0,0
5,20,68,53,15,5,2,0,0,0.0,0.7311244979919678,3.501599999999999,0,1,0,0,0,0,1,0,0,0,1
2,10,29,21,8,2,0,0,0,0.0,0.7379518072289156,3.892500000000001,1,0,0,0,0,0,1,0,0,0,1
3,13,40,18,7,6,2,1,0,0.0,0.3714859437751003,2.625,1,0,0,0,0,1,0,0,0,0,1
10,52,168,163,50,2,1,0,0,0.0,0.9742876266972652,3.9302,0,1,0,0,0,1,0,0,0,0,0
1,4,14,10,3,1,0,0,0,0.0,0.6024096385542168,3.3500000000000028,0,1,0,0,0,1,0,0,0,0,1
15,55,197,153,44,11,8,3,0,0.0,0.531838342380511,3.2985333333333333,0,1,0,0,1,0,0,0,0,0,0
1,4,14,10,3,1,0,0,0,0.0,0.6024096385542168,3.300000000000004,0,1,0,0,0,1,0,0,0,0,0
13,61,219,172,50,11,6,3,1,0.0,0.8018328597568634,3.293615384615385,0,1,0,0,0,1,0,0,0,0,0
3,13,41,9,5,8,3,2,0,0.0,0.2710843373493975,1.8473333333333333,0,1,0,0,0,1,0,0,0,0,1
1,5,14,0,0,5,0,0,0,0.0,0.0,0.075,0,1,0,0,1,0,0,0,0,0,1
1,5,14,0,1,4,0,0,0,0.0,0.0,1.525,0,1,0,0,1,0,0,0,0,0,1
15,63,218,167,50,13,5,4,2,0.0,0.5935608345246899,3.548266666666667,1,0,0,0,1,0,0,0,0,0,0
9,38,131,115,34,4,3,1,0,0.0,0.9008743306559572,3.251875,0,1,0,0,0,0,1,0,0,0,1
13,46,159,82,26,20,10,3,1,1.0,0.4774912555264733,2.8347692307692305,0,1,0,0,1,0,0,0,0,0,1
2,9,29,6,3,6,2,0,0,0.0,0.2710843373493975,1.2125,0,1,0,0,0,1,0,0,0,0,1
3,9,28,9,4,5,2,0,0,0.0,0.2409638554216866,1.9833333333333327,0,1,0,0,0,1,0,0,0,0,1
4,12,45,9,3,9,2,2,2,2.0,0.2371987951807228,1.850000000000001,0,1,0,0,1,0,0,0,0,0,1
14,61,223,162,46,15,6,4,3,0.0,0.4839819651566639,3.2802857142857142,1,0,0,0,0,1,0,0,0,0,0
2,12,32,32,12,0,0,0,0,0.0,0.9638554216867468,4.458,0,1,0,0,1,0,0,0,0,0,1
3,12,45,37,10,2,2,0,0,0.0,0.7797858099062918,3.3266666666666667,0,1,0,0,1,0,0,0,0,0,1
8,33,107,54,19,14,5,3,2,1.0,0.4489027538726333,2.310625,1,0,0,0,1,0,0,0,0,0,1
4,11,37,21,7,4,1,0,0,0.0,0.5233433734939759,2.38125,1,0,0,0,0,0,1,0,0,0,1
1,5,14,0,0,5,0,0,0,0.0,0.0,0.7750000000000018,0,1,0,0,1,0,0,0,0,0,1
2,8,28,0,0,8,4,0,0,0.0,0.0,0.1000000000000019,0,1,0,0,0,0,1,0,0,0,1
16,54,188,130,39,15,8,3,1,0.0,0.5198759155837468,3.285375,1,0,0,0,1,0,0,0,0,0,0
1,5,14,0,1,4,0,0,0,0.0,0.0,0.6250000000000018,0,1,0,0,1,0,0,0,0,0,1
9,47,149,137,43,4,3,0,0,0.0,0.8397213191389897,3.834111111111112,0,1,0,0,1,0,0,0,0,0,0
2,9,33,13,4,5,2,0,0,0.0,0.3765060240963854,2.475000000000001,0,1,0,0,1,0,0,0,0,0,1
2,8,25,9,3,5,2,0,0,0.0,0.3162650602409638,2.325,1,0,0,0,0,1,0,0,0,0,1
10,34,105,74,26,6,3,1,0,0.0,0.5829126027921208,3.2894000000000005,0,1,0,0,1,0,0,0,0,0,1
16,69,241,173,51,18,12,4,2,0.0,0.5455403605347129,3.4053125,1,0,0,0,1,0,0,0,0,0,0
11,50,173,165,48,2,2,0,0,0.0,0.8908034736347988,4.011545454545455,1,0,0,0,1,0,0,0,0,0,0
10,43,133,133,43,0,0,0,0,0.0,0.7045969592656339,4.178,1,0,0,0,1,0,0,0,0,0,0
3,11,37,9,4,7,2,2,0,0.0,0.2710843373493975,1.4666666666666668,1,0,0,0,1,0,0,0,0,0,1
2,10,29,17,7,3,1,0,0,0.0,0.5572289156626505,2.925,0,1,0,0,1,0,0,0,0,0,1
11,51,164,160,50,1,1,0,0,0.0,0.888227249809944,4.276909090909092,1,0,0,0,0,1,0,0,0,0,0
11,53,183,172,50,3,2,0,0,0.0,0.8767182069482178,3.9047272727272726,0,1,0,0,1,0,0,0,0,0,0
3,9,26,10,3,6,0,0,0,0.0,0.287817938420348,2.3500000000000005,1,0,0,0,0,1,0,0,0,0,1
2,11,25,21,10,1,1,0,0,0.0,0.6174698795180722,3.750000000000001,0,1,0,0,1,0,0,0,0,0,1
16,67,233,165,48,19,8,4,1,0.0,0.5256696376331165,3.1253125,0,1,0,0,1,0,0,0,0,0,1
13,49,174,168,47,2,1,0,0,0.0,0.8203036408550772,3.429384615384616,0,1,0,0,0,0,1,0,0,0,0
2,9,29,6,3,6,1,0,0,0.0,0.2710843373493975,2.1375,0,1,0,0,1,0,0,0,0,0,1
4,16,55,43,13,3,2,1,0,0.0,0.7065763052208834,3.277,1,0,0,0,1,0,0,0,0,0,1
4,20,65,25,10,10,4,1,1,0.0,0.4028614457831325,2.2070000000000007,0,1,0,0,1,0,0,0,0,0,0
9,48,157,110,36,12,4,2,1,0.0,0.638065489471112,3.130888888888889,1,0,0,0,0,1,0,0,0,0,0
1,5,14,3,2,3,0,0,0,0.0,0.180722891566265,2.4,1,0,0,0,0,0,1,0,0,0,1
8,44,137,102,35,9,4,3,1,0.0,0.7269793459552495,3.398625,0,1,0,0,1,0,0,0,0,0,0
12,52,172,172,51,1,0,0,0,0.0,0.8715603757019418,3.943,0,1,0,0,1,0,0,0,0,0,0
3,14,49,25,8,6,2,2,0,0.0,0.4585006693440427,2.6616666666666675,1,0,0,0,0,1,0,0,0,0,1
21,58,208,126,36,22,12,6,3,0.0,0.3749400041180386,2.8875238095238096,0,1,0,0,1,0,0,0,0,0,0
5,25,82,78,19,2,1,0,0,0.0,0.8877510040160642,3.758000000000001,1,0,0,0,1,0,0,0,0,0,0
7,26,92,21,8,18,7,5,3,3.0,0.2289156626506023,1.6225714285714292,0,1,0,0,0,1,0,0,0,0,1
2,9,29,21,7,2,0,0,0,0.0,0.7379518072289156,3.137500000000002,1,0,0,0,1,0,0,0,0,0,1
2,9,21,10,5,4,0,0,0,0.0,0.4518072289156626,3.021000000000001,0,1,0,0,1,0,0,0,0,0,1
2,8,29,29,8,0,0,0,0,0.0,0.8584337349397589,3.9250000000000007,0,1,0,0,0,1,0,0,0,0,1
1,4,14,0,0,4,0,0,0,0.0,0.0,0.55,0,1,0,0,1,0,0,0,0,0,1
6,25,88,40,13,12,5,1,1,0.0,0.4263721552878178,2.563666666666667,1,0,0,0,0,1,0,0,0,0,0
1,5,14,0,0,5,0,0,0,0.0,0.0,0.0749999999999991,1,0,0,0,1,0,0,0,0,0,1
